Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Wynberg,1,1,227 Main Road,1,8.779557456,,Rental,34629601
Foreshore,2,2,11 Christaan Barnard,1,10.30895266,73,Rental,35904010
Sea Point,0.5,1,4 Frere Rd,0,9.798127037,34,Rental,36773602
Sea Point,2,1,20 Queens Rd,1,9.928180165,,Rental,35316267
Plumstead,2,1,"16 Manyways, 77 Doordrift Road",1,9.546812609,87,Rental,36814229
Rondebosch,3,2,19 Balintore Road,0,9.680344001,,Rental,36789982
Green Point,1,1,37 Main Road,1,9.998797732,,Rental,36793281
Cape Town City Centre,0.5,1,,1,9.61580548,45,Rental,31704848
Mouille Point,4,4,,2,11.65268741,268,Rental,36830773
Muizenberg,3,2,"36 Aurora Sands, 01 St David's Street",2,9.388486557,100,Rental,36771591
Kenilworth Upper,2,1,,1,9.564512186,80,Rental,36832509
Green Point,2,2,19 Clydebank Road,0,10.4341158,,Rental,36825527
Green Point,2,2,"28 Chepstow Road, Green Point",0,9.952277717,72,Rental,32824459
Cape Town City Centre,0.5,1,,0,9.680344001,27,Rental,36831183
Foreshore,1,1,Harbour Arch Boulevard,1,9.61580548,41,Rental,36728669
Kenilworth,1,1,,1,8.987196821,37,Rental,36789826
Sea Point,2,1,28 Glengariff Rd,1,10.1266311,,Rental,36764288
Sea Point,2,1.5,,1,9.903487553,100,Rental,36833709
Cape Town City Centre,1,1,14 Jetty St,1,9.738023113,,Rental,34047071
Gardens,2,1,,1,9.71111566,83,Rental,35322111
Bo Kaap,2,1,,1,10.16585182,145,Rental,36831853
Cape Town City Centre,1,1,,1,9.350102314,46,Rental,36835958
Pinelands,2,1,Forest Drive Extension,1,9.159047078,,Rental,36804542
Observatory,5,4,38 Long St,0,8.699514748,,Rental,30508036
Claremont,2,1,,1,9.472704636,75,Rental,36563561
Sea Point,2,2,17 Albany Road,3,10.30895266,80,Rental,36805445
Mouille Point,1,1,,1,9.735068901,71,Rental,36832552
Sea Point,1,1,Planet Africa 17 Kei Apple Road,1,9.903487553,52,Rental,36197052
Tamboerskloof,3,2.5,,0,10.81977828,180,Rental,36827396
Gardens,1,1,60 Kloof Street,0,9.61580548,55,Rental,35161833
Newlands,1,1,,1,9.71111566,84,Rental,35105438
Sea Point,1,1,,0,9.680344001,29,Rental,36825790
Woodstock,1,1,,1,9.581903928,70,Rental,36825403
Rondebosch,1,1,"6 Selborn, 11 Highstead Rd, Rondebosch 7700",0,8.839276691,20,Rental,29288170
Cape Town City Centre,0.5,1,43 Buitenkant Street,1,9.350102314,30,Rental,36830329
Vredehoek,1,1.5,"36 Clifford Ave, Vredehoek",2,9.76995616,50,Rental,36821779
Plumstead,3,3,,3,9.878169745,257,Rental,36820592
Bantry Bay,2,1,21 Fir Ave,1,10.23995979,80,Rental,35479593
Gardens,1,1,,1,10.1064284,69,Rental,36824479
Sea Point,3,3,,2,11.22524339,196,Rental,36832959
Mouille Point,3,3.5,,2,11.08214255,270,Rental,36832448
Diep River,2,1,15 Main Road,2,9.259130536,92,Rental,36714496
Wynberg Upper,2,1,,2,9.433483923,85,Rental,36822738
Vredehoek,3,1,,1,9.825526011,78,Rental,36821014
Camps Bay,2,2,,2,9.998797732,86,Rental,35705032
Sea Point,2,1,10 Firmount Road,2,10.1064284,156,Rental,36825402
Mouille Point,1,1,,2,9.903487553,60,Rental,36823981
Sea Point,1,1,4 St. Andrews Road,0,9.648595303,55,Rental,36823685
Tamboerskloof,2,2,,1,10.59663473,270,Rental,31564030
Cape Town City Centre,2,1,,1,10.1266311,68,Rental,36823845
Sea Point,2,2,,1,10.23995979,102,Rental,36823250
Pinelands,0.5,1,"St King's Blockhouse, 1 Spine Boulevard",0,8.839276691,,Rental,36288842
Muizenberg,2,1,Sunrise Blvd Costa Da Gama,1,8.948975608,47,Rental,30069922
Green Point,2,2,65 Main Rd,2,10.08580911,105,Rental,36702065
Gardens,1,1,,1,9.798127037,46,Rental,36821258
Mouille Point,2,2,"1 Pont Du Gard, 35 Beach Road",1,10.27505111,103,Rental,36814619
Fresnaye,2,2,,2,10.16585182,85,Rental,36812909
Sea Point,2,1,"No 7, 10 Whitehall, London Road, Seapoint",0,10.30895266,75,Rental,36815599
Sea Point,1,1,21 Tramway Rd,1,10.1266311,55,Rental,36761557
Claremont Upper,2,1,,1,9.546812609,70,Rental,36813628
Sea Point,1,1,,1,9.878169745,50,Rental,36818674
Sea Point,2,2,,2,10.37349118,76,Rental,36818671
Fresnaye,2,2,,2,10.77895629,120,Rental,36817973
Constantia,4,3.5,26 Innesfree Road,7,11.00209984,,Rental,36639967
Rondebosch,3,1,12 Frean Road,3,9.903487553,646,Rental,36819065
Green Point,2,1.5,177 Main Road,1,9.975808214,75,Rental,32771784
Observatory,1,1,2 Irwell Street,0,9.137769679,40,Rental,35452518
Sea Point,1,1.5,,1,10.16585182,49,Rental,35155720
Cape Town City Centre,0.5,1,66 Keerom Street,0,9.104979856,43,Rental,33829900
Sea Point,3,3,17 Deane Rd,0,10.96819829,214,Rental,36735820
Sea Point,2,2,,1,10.46310334,69,Rental,35380381
Claremont Upper,2,1,25 Cavendish Street,0,9.210340372,,Rental,34234577
Sea Point,2,2,,1,10.59663473,88,Rental,36819372
Camps Bay,3,3,6 Penelope Close,1,10.81977828,600,Rental,36346049
Muizenberg,3,2,,2,9.546812609,120,Rental,36824805
Sea Point,2,2,,1,11.35040654,136,Rental,36772918
Sea Point,1,1,85 M61,0,9.786953736,56,Rental,34810881
Sea Point,2,1,,1,9.903487553,89,Rental,36785417
Muizenberg,3,1,84 Duiker Gate Road Capricorn,2,9.568014816,,Rental,31969093
Green Point,2,1.5,,0,10.20359214,80,Rental,36823949
Observatory,0.5,1,"520 Obs Court, 3 Howe Street",1,9.159047078,32,Rental,36478883
Clifton,3,3,49 Victoria Rd,1,11.12726298,234,Rental,36736303
Camps Bay,3,3.5,,2,11.08214255,399,Rental,36815837
