Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Clifton,1.0,1.5,51 Victoria Rd,1.0,11.22524339,126.0,Rental,36737285
Clifton,2.0,2.0,51 Victoria Rd,1.0,10.91508846,126.0,Rental,36735324
Vredehoek,2.0,2.0,,0.0,10.04324949,120.0,Rental,32904749
Sea Point,1.0,2.0,275 Beach Rd,1.0,10.46310334,,Rental,36804133
De Waterkant,3.0,3.0,4 Liddle St,2.0,11.69524702,,Rental,36804176
Sea Point,2.0,2.0,259 On Beach Road,1.0,10.46310334,105.0,Rental,36771043
Cape Town City Centre,1.0,1.0,1 Dockrail Road,1.0,9.798127037,64.0,Rental,36748179
Cape Town City Centre,2.0,2.0,8 Buiten St,1.0,9.952277717,84.0,Rental,36809483
Cape Town City Centre,2.0,2.0,57 Church Street,1.0,10.16585182,111.0,Rental,36754592
Cape Town City Centre,0.5,1.0,"302 Pepper Club, 167 Loop Street",1.0,9.546812609,33.0,Rental,36787534
Sea Point,3.0,3.5,67 Regent Road,2.0,10.71441777,251.0,Rental,36755496
Diep River,2.0,2.0,21 Annandale Road,1.0,9.680344001,,Rental,36824743
Wynberg,1.0,1.0,227 Main Road,1.0,8.779557456,,Rental,34629601
Foreshore,2.0,2.0,11 Christaan Barnard,1.0,10.30895266,73.0,Rental,35904010
Sea Point,0.5,1.0,4 Frere Rd,0.0,9.798127037,34.0,Rental,36773602
Sea Point,2.0,1.0,20 Queens Rd,1.0,9.928180165,,Rental,35316267
Plumstead,2.0,1.0,"16 Manyways, 77 Doordrift Road",1.0,9.546812609,87.0,Rental,36814229
Rondebosch,3.0,2.0,19 Balintore Road,0.0,9.680344001,,Rental,36789982
Green Point,1.0,1.0,37 Main Road,1.0,9.998797732,,Rental,36793281
Cape Town City Centre,0.5,1.0,,1.0,9.61580548,45.0,Rental,31704848
Mouille Point,4.0,4.0,,2.0,11.65268741,268.0,Rental,36830773
Muizenberg,3.0,2.0,"36 Aurora Sands, 01 St David's Street",2.0,9.388486557,100.0,Rental,36771591
Kenilworth Upper,2.0,1.0,,1.0,9.564512186,80.0,Rental,36832509
Green Point,2.0,2.0,19 Clydebank Road,0.0,10.4341158,,Rental,36825527
Green Point,2.0,2.0,"28 Chepstow Road, Green Point",0.0,9.952277717,72.0,Rental,32824459
Cape Town City Centre,0.5,1.0,,0.0,9.680344001,27.0,Rental,36831183
Foreshore,1.0,1.0,Harbour Arch Boulevard,1.0,9.61580548,41.0,Rental,36728669
Kenilworth,1.0,1.0,,1.0,8.987196821,37.0,Rental,36789826
Sea Point,2.0,1.0,28 Glengariff Rd,1.0,10.1266311,,Rental,36764288
Sea Point,2.0,1.5,,1.0,9.903487553,100.0,Rental,36833709
Cape Town City Centre,1.0,1.0,14 Jetty St,1.0,9.738023113,,Rental,34047071
Gardens,2.0,1.0,,1.0,9.71111566,83.0,Rental,35322111
Bo Kaap,2.0,1.0,,1.0,10.16585182,145.0,Rental,36831853
Cape Town City Centre,1.0,1.0,,1.0,9.350102314,46.0,Rental,36835958
Pinelands,2.0,1.0,Forest Drive Extension,1.0,9.159047078,,Rental,36804542
Observatory,5.0,4.0,38 Long St,0.0,8.699514748,,Rental,30508036
Claremont,2.0,1.0,,1.0,9.472704636,75.0,Rental,36563561
Sea Point,2.0,2.0,17 Albany Road,3.0,10.30895266,80.0,Rental,36805445
Mouille Point,1.0,1.0,,1.0,9.735068901,71.0,Rental,36832552
Sea Point,1.0,1.0,Planet Africa 17 Kei Apple Road,1.0,9.903487553,52.0,Rental,36197052
Tamboerskloof,3.0,2.5,,0.0,10.81977828,180.0,Rental,36827396
Gardens,1.0,1.0,60 Kloof Street,0.0,9.61580548,55.0,Rental,35161833
Newlands,1.0,1.0,,1.0,9.71111566,84.0,Rental,35105438
Sea Point,1.0,1.0,,0.0,9.680344001,29.0,Rental,36825790
Woodstock,1.0,1.0,,1.0,9.581903928,70.0,Rental,36825403
Rondebosch,1.0,1.0,"6 Selborn, 11 Highstead Rd, Rondebosch 7700",0.0,8.839276691,20.0,Rental,29288170
Cape Town City Centre,0.5,1.0,43 Buitenkant Street,1.0,9.350102314,30.0,Rental,36830329
Vredehoek,1.0,1.5,"36 Clifford Ave, Vredehoek",2.0,9.76995616,50.0,Rental,36821779
Plumstead,3.0,3.0,,3.0,9.878169745,257.0,Rental,36820592
Bantry Bay,2.0,1.0,21 Fir Ave,1.0,10.23995979,80.0,Rental,35479593
Gardens,1.0,1.0,,1.0,10.1064284,69.0,Rental,36824479
Sea Point,3.0,3.0,,2.0,11.22524339,196.0,Rental,36832959
Mouille Point,3.0,3.5,,2.0,11.08214255,270.0,Rental,36832448
Diep River,2.0,1.0,15 Main Road,2.0,9.259130536,92.0,Rental,36714496
Wynberg Upper,2.0,1.0,,2.0,9.433483923,85.0,Rental,36822738
Vredehoek,3.0,1.0,,1.0,9.825526011,78.0,Rental,36821014
Camps Bay,2.0,2.0,,2.0,9.998797732,86.0,Rental,35705032
Sea Point,2.0,1.0,10 Firmount Road,2.0,10.1064284,156.0,Rental,36825402
Mouille Point,1.0,1.0,,2.0,9.903487553,60.0,Rental,36823981
Sea Point,1.0,1.0,4 St. Andrews Road,0.0,9.648595303,55.0,Rental,36823685
Tamboerskloof,2.0,2.0,,1.0,10.59663473,270.0,Rental,31564030
Cape Town City Centre,2.0,1.0,,1.0,10.1266311,68.0,Rental,36823845
Sea Point,2.0,2.0,,1.0,10.23995979,102.0,Rental,36823250
Pinelands,0.5,1.0,"St King's Blockhouse, 1 Spine Boulevard",0.0,8.839276691,,Rental,36288842
Muizenberg,2.0,1.0,Sunrise Blvd Costa Da Gama,1.0,8.948975608,47.0,Rental,30069922
Green Point,2.0,2.0,65 Main Rd,2.0,10.08580911,105.0,Rental,36702065
Gardens,1.0,1.0,,1.0,9.798127037,46.0,Rental,36821258
Mouille Point,2.0,2.0,"1 Pont Du Gard, 35 Beach Road",1.0,10.27505111,103.0,Rental,36814619
Fresnaye,2.0,2.0,,2.0,10.16585182,85.0,Rental,36812909
Sea Point,2.0,1.0,"No 7, 10 Whitehall, London Road, Seapoint",0.0,10.30895266,75.0,Rental,36815599
Sea Point,1.0,1.0,21 Tramway Rd,1.0,10.1266311,55.0,Rental,36761557
Claremont Upper,2.0,1.0,,1.0,9.546812609,70.0,Rental,36813628
Sea Point,1.0,1.0,,1.0,9.878169745,50.0,Rental,36818674
Sea Point,2.0,2.0,,2.0,10.37349118,76.0,Rental,36818671
Fresnaye,2.0,2.0,,2.0,10.77895629,120.0,Rental,36817973
Constantia,4.0,3.5,26 Innesfree Road,7.0,11.00209984,,Rental,36639967
Rondebosch,3.0,1.0,12 Frean Road,3.0,9.903487553,646.0,Rental,36819065
Green Point,2.0,1.5,177 Main Road,1.0,9.975808214,75.0,Rental,32771784
Observatory,1.0,1.0,2 Irwell Street,0.0,9.137769679,40.0,Rental,35452518
Sea Point,1.0,1.5,,1.0,10.16585182,49.0,Rental,35155720
Cape Town City Centre,0.5,1.0,66 Keerom Street,0.0,9.104979856,43.0,Rental,33829900
Sea Point,3.0,3.0,17 Deane Rd,0.0,10.96819829,214.0,Rental,36735820
Sea Point,2.0,2.0,,1.0,10.46310334,69.0,Rental,35380381
Claremont Upper,2.0,1.0,25 Cavendish Street,0.0,9.210340372,,Rental,34234577
Sea Point,2.0,2.0,,1.0,10.59663473,88.0,Rental,36819372
Camps Bay,3.0,3.0,6 Penelope Close,1.0,10.81977828,600.0,Rental,36346049
Muizenberg,3.0,2.0,,2.0,9.546812609,120.0,Rental,36824805
Sea Point,2.0,2.0,,1.0,11.35040654,136.0,Rental,36772918
Sea Point,1.0,1.0,85 M61,0.0,9.786953736,56.0,Rental,34810881
Sea Point,2.0,1.0,,1.0,9.903487553,89.0,Rental,36785417
Muizenberg,3.0,1.0,84 Duiker Gate Road Capricorn,2.0,9.568014816,,Rental,31969093
Green Point,2.0,1.5,,0.0,10.20359214,80.0,Rental,36823949
Observatory,0.5,1.0,"520 Obs Court, 3 Howe Street",1.0,9.159047078,32.0,Rental,36478883
Clifton,3.0,3.0,49 Victoria Rd,1.0,11.12726298,234.0,Rental,36736303
Camps Bay,3.0,3.5,,2.0,11.08214255,399.0,Rental,36815837
Cape Town City Centre,1.0,1.0,24 Hans Strijdom Ave,1.0,9.878169745,70.0,Rental,33976991
Sea Point,3.0,2.0,,1.0,10.75790288,325.0,Rental,36815781
