Suburb,Bedrooms,Bathrooms,Address,Parking_spaces,Price,Floor_size,Type,URL_code
Claremont Upper,2.0,2.0,25 Protea Rd,2.0,10.16585182,110.0,Rental,36789012
Sea Point,3.0,1.0,77 Regent Rd,1.0,10.25765937,150.0,Rental,36315881
Clifton,4.0,5.0,,2.0,12.32385568,,Rental,36368737
Newlands,1.0,1.0,,1.0,9.159047078,41.0,Rental,36397396
Sea Point,1.0,1.0,21 Tramway Rd,1.0,10.1266311,55.0,Rental,36761557
Llandudno,1.0,1.0,,1.0,9.740968623,,Rental,36830980
Clifton,4.0,3.0,,2.0,12.4292162,392.0,Rental,32723638
De Waterkant,2.0,1.0,,0.0,10.20359214,,Rental,36699995
Newlands,2.0,1.0,"1275 Berkeley Square, 173 Main Road",1.0,9.472704636,,Rental,36614567
Camps Bay,3.0,4.0,,2.0,11.54248427,,Rental,36509962
Camps Bay,1.0,1.0,,2.0,9.61580548,,Rental,36364549
Rondebosch,3.0,1.0,,0.0,8.612503371,,Rental,36118849
Green Point,1.0,1.0,3 Thornhill Rd,1.0,9.680344001,65.0,Rental,33919497
Rondebosch,1.0,1.0,"6 Selborn, 11 Highstead Rd, Rondebosch 7700",0.0,8.839276691,20.0,Rental,29288170
Vredehoek,2.0,2.0,,2.0,10.58405595,98.0,Rental,35759810
Foreshore,1.0,1.0,"217a Vida D'chette, 21 Martin Hammerschlag Way",0.0,8.808369153,,Rental,35586452
Foreshore,2.0,2.0,Harbour Arch Boulevard,1.0,10.53209621,86.0,Rental,36443335
Gardens,3.0,3.0,15 Orange Street,2.0,11.73606902,577.0,Rental,36532670
Sea Point,0.5,1.0,6 Regent Rd,0.0,9.61580548,,Rental,36700280
Higgovale,3.0,3.0,,2.0,11.08214255,,Rental,36765312
Rondebosch,2.0,1.0,,0.0,9.648595303,,Rental,34939526
Pinelands,2.0,1.0,,1.0,9.532423871,150.0,Rental,36768304
Camps Bay,4.0,2.0,,2.0,11.15625052,220.0,Rental,36767961
Camps Bay,2.0,1.0,,1.0,10.54534144,90.0,Rental,36200474
Sea Point,1.0,1.0,The Flamingo 4th Floor 6 Regent Road Sea Point,0.0,9.61580548,,Rental,36829301
Sea Point,2.0,2.0,,2.0,10.59663473,97.0,Rental,36689830
Constantia,4.0,4.0,,5.0,11.28978191,,Rental,33849065
Kenilworth Upper,1.0,1.0,Summerley Rd Kenilworth,2.0,9.546812609,60.0,Rental,36829302
Pinelands,2.0,1.0,Forest Drive Extension,1.0,9.159047078,,Rental,36804542
Cape Town City Centre,1.0,1.0,,1.0,9.998797732,,Rental,36819403
De Waterkant,2.0,2.0,,2.0,10.59663473,,Rental,36751775
Mouille Point,3.0,4.0,,1.0,11.77528973,448.0,Rental,36713762
Constantia,4.0,3.5,,3.0,11.00209984,,Rental,36766851
Newlands,0.5,1.0,,1.0,9.472704636,,Rental,36769960
Green Point,2.0,1.0,Torbay Rd Green Point,0.0,10.30895266,118.0,Rental,35243934
Woodstock,2.0,1.0,,0.0,9.472704636,105.0,Rental,31086554
Sea Point,2.0,2.0,,1.0,10.81977828,131.0,Rental,35394962
Gardens,3.0,3.5,,2.0,10.91508846,309.0,Rental,36627397
Camps Bay,2.0,2.5,"3 Dunkeld Village, 16 Willesden Road Road",2.0,11.00209984,209.0,Rental,35415205
Mouille Point,3.0,2.0,,1.0,11.00209984,153.0,Rental,35216870
Rondebosch,3.0,1.5,,1.0,9.61580548,,Rental,36813597
